PassengerId,Fare,Age,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Survived,No_Cabin,No_Family
1,-0.5924805998028931,-0.5924805998028931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,0
2,0.6387890120425208,0.6387890120425208,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0
3,-0.2846631968415396,-0.2846631968415396,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1
4,0.40792595982150565,0.40792595982150565,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,0
5,0.40792595982150565,0.40792595982150565,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1
6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,1
7,1.8700586238879346,1.8700586238879346,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,1
8,-2.1315676146096605,-2.1315676146096605,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,0
9,-0.20770884610120124,-0.20770884610120124,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0
10,-1.2081154057256,-1.2081154057256,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,0
11,-1.9776589131289837,-1.9776589131289837,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0
12,2.177876026849288,2.177876026849288,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,1
13,-0.7463893012835698,-0.7463893012835698,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1
14,0.7157433627828591,0.7157433627828591,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,0
15,-1.2081154057256,-1.2081154057256,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,1
16,1.947012974628273,1.947012974628273,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1
17,-2.1315676146096605,-2.1315676146096605,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,0
18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
